Category,Artist,Song,AlbumArtURL
Pop / R&B,Britney Spears,Toxic,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/38/8b/7a/388b7a8f-10ff-a4e0-7624-65e29ac6a793/828765374828.jpg/600x600bb.jpg
Pop / R&B,Bruno Mars,Marry You,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/98/ae/c2/98aec2e1-3be4-0311-1b44-69348fc87abb/075679956484.jpg/600x600bb.jpg
Pop / R&B,Bruno Mars,Uptown Funk,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/7e/30/c5/7e30c572-aa47-5f7b-c6fd-42d50cd2c56d/886444959797.jpg/600x600bb.jpg
Pop / R&B,Bruno Mars,Versace On The Floor,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e3/47/a0/e347a0cc-87ce-5d05-d560-176c7d48f66e/075679904119.jpg/600x600bb.jpg
Pop / R&B,BTS,Black Swan,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/df/d8/c2/dfd8c2f7-e5b8-7994-8cf2-7352aa899314/194491843380_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Boy with Luv,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/40/d4/93/40d493e3-ac9e-1746-8d4c-f380f27c97cb/193483706238_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Butter,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/27/80/dc/2780dce3-3cdd-d8aa-ec8c-05bf8ad90f9d/196006771362_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Butterfly,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/91/01/ba/9101bac3-c018-7d2e-2613-406dd7e5ddf3/8804775066856_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,DNA,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ff/00/2c/ff002c29-6da9-1a26-16b3-282a73180366/192562871591_Cover.jpg/600x600bb.jpg
Pop / R&B,BTS,Dynamite,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/03/8d/0e/038d0e52-e96d-f386-b8eb-9f77fa013543/195497146918_Cover.jpg/600x600bb.jpg
